Genera/Species	Housekeeping Genes
Escherichia  	UTP--glucose-1-phosphate uridylyltransferase
Escherichia  	6-phosphogluconate dehydrogenase
Escherichia  	phosphoribosyl-AMP cyclohydrolase
Klebsiella 	UTP--glucose-1-phosphate uridylyltransferase
Klebsiella 	6-phosphogluconate dehydrogenase
Klebsiella 	phosphoribosyl-AMP cyclohydrolase
Vibrio metschnikovii 	ADP-L-glycero-D-manno-heptose-6-epimerase
Vibrio metschnikovii 	metallo-beta-lactamases
Vibrio cholerae 	ADP-L-glycero-D-manno-heptose-6-epimerase
Vibrio cholerae 	metallo-beta-lactamases
Vibrio vulnificus 	ADP-L-glycero-D-manno-heptose-6-epimerase
Vibrio vulnificus 	metallo-beta-lactamases
Vibrio alginolyticus 	ADP-L-glycero-D-manno-heptose-6-epimerase
Vibrio alginolyticus 	metallo-beta-lactamases
Vibrio splendidus 	ADP-L-glycero-D-manno-heptose-6-epimerase
Vibrio splendidus 	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
Vibrio harveyi	lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase
Vibrio harveyi	3-deoxy-D-manno-octulosonic acid kinase
Vibrio parahaemolyticus 	ADP-L-glycero-D-manno-heptose-6-epimerase
Vibrio parahaemolyticus 	diacylglycerol kinase alpha
