galF	UTP–glucose-1-phosphate uridylyltransferase	Escherichia,Klebsiella
gnd	6-phosphogluconate dehydrogenase	Escherichia,Klebsiella
hisI	phosphoribosyl-AMP cyclohydrolase	Escherichia,Klebsiella
gmhD	ADP-L-glycero-D-manno-heptose-6-epimerase	Vibrio
gpm	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Vibrio
kdkA	3-deoxy-D-manno-octulosonic acid kinase	Vibrio
rjg	metallo-beta-lactamases	Vibrio
lpxM	lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase	Vibrio
dgkA	diacylglycerol kinase alpha	Vibrio
WbpM    nucleotide sugar epimerase/dehydratase	Pseudomonas
ihfB    Integration host factor beta subunit	Pseudomonas
